Driver,Team,Race,Country,Position
Hamilton,McLaren,Melbourne,Australia,1
Massa,Ferrari,Melbourne,Australia,0
Raikkonen,Ferrari,Melbourne,Australia,8
Kubica,BMW,Melbourne,Australia,0
Alonso,Renault,Melbourne,Australia,4
Heidfeld,BMW,Melbourne,Australia,2
Kovalainen,McLaren,Melbourne,Australia,5
Vettel,Toro Rosso,Melbourne,Australia,0
Trulli,Toyota,Melbourne,Australia,0
Glock,Toyota,Melbourne,Australia,0
Hamilton,McLaren,Sepang,Malesia,5
Massa,Ferrari,Sepang,Malesia,0
Raikkonen,Ferrari,Sepang,Malesia,1
Kubica,BMW,Sepang,Malesia,2
Alonso,Renault,Sepang,Malesia,8
Heidfeld,BMW,Sepang,Malesia,6
Kovalainen,McLaren,Sepang,Malesia,3
Vettel,Toro Rosso,Sepang,Malesia,0
Trulli,Toyota,Sepang,Malesia,4
Glock,Toyota,Sepang,Malesia,0
Hamilton,McLaren,Sakhir,Bahrain,0
Massa,Ferrari,Sakhir,Bahrain,1
Raikkonen,Ferrari,Sakhir,Bahrain,2
Kubica,BMW,Sakhir,Bahrain,3
Alonso,Renault,Sakhir,Bahrain,0
Heidfeld,BMW,Sakhir,Bahrain,4
Kovalainen,McLaren,Sakhir,Bahrain,5
Vettel,Toro Rosso,Sakhir,Bahrain,0
Trulli,Toyota,Sakhir,Bahrain,6
Glock,Toyota,Sakhir,Bahrain,0
Hamilton,McLaren,Barcellona,Spagna,3
Massa,Ferrari,Barcellona,Spagna,2
Raikkonen,Ferrari,Barcellona,Spagna,1
Kubica,BMW,Barcellona,Spagna,4
Alonso,Renault,Barcellona,Spagna,0
Heidfeld,BMW,Barcellona,Spagna,0
Kovalainen,McLaren,Barcellona,Spagna,0
Vettel,Toro Rosso,Barcellona,Spagna,0
Trulli,Toyota,Barcellona,Spagna,8
Glock,Toyota,Barcellona,Spagna,0
Hamilton,McLaren,Istanbul,Turchia,2
Massa,Ferrari,Istanbul,Turchia,1
Raikkonen,Ferrari,Istanbul,Turchia,3
Kubica,BMW,Istanbul,Turchia,4
Alonso,Renault,Istanbul,Turchia,6
Heidfeld,BMW,Istanbul,Turchia,5
Kovalainen,McLaren,Istanbul,Turchia,0
Vettel,Toro Rosso,Istanbul,Turchia,0
Trulli,Toyota,Istanbul,Turchia,0
Glock,Toyota,Istanbul,Turchia,0
Hamilton,McLaren,Montecarlo,Monaco,1
Massa,Ferrari,Montecarlo,Monaco,3
Raikkonen,Ferrari,Montecarlo,Monaco,0
Kubica,BMW,Montecarlo,Monaco,2
Alonso,Renault,Montecarlo,Monaco,0
Heidfeld,BMW,Montecarlo,Monaco,0
Kovalainen,McLaren,Montecarlo,Monaco,8
Vettel,Toro Rosso,Montecarlo,Monaco,5
Trulli,Toyota,Montecarlo,Monaco,0
Glock,Toyota,Montecarlo,Monaco,0
Hamilton,McLaren,Montreal,Canada,0
Massa,Ferrari,Montreal,Canada,5
Raikkonen,Ferrari,Montreal,Canada,0
